,hhid,longitude,latitude,altitude,kebele
19149,DT0102128,37.75431,12.97588,2589,DT01
19150,DT0102127,37.75431,12.97588,2589,DT01
19151,DT0102126,37.75542,12.97735,2588,DT01
19152,DT0102125,37.75542,12.97735,2588,DT01
19153,DT0102124,37.75542,12.97735,2588,DT01
19154,DT0102123,37.75542,12.97735,2588,DT01
19155,DT0102118,37.7559,12.97559,2580,DT01
19156,DT0102115,37.75457,12.9752,2584,DT01
19157,DT0102116,37.75457,12.9752,2584,DT01
19158,DT0102114,37.75457,12.9752,2584,DT01
19159,DT0102112,37.75376,12.97428,2599,DT01
19160,DT0102113,37.75376,12.97428,2599,DT01
19161,DT0102111,37.75434,12.97623,2592,DT01
19162,DT0102110,37.75434,12.97623,2592,DT01
19163,DT0102107,37.75301,12.97282,2595,DT01
19164,DT0102106,37.75364,12.97223,2594,DT01
19165,DT0102105,37.75516,12.97627,2584,DT01
19166,DT0102104,37.76329,12.98166,2573,DT01
19167,DT0102103,37.75343,12.97537,2585,DT01
19168,DT0102102,37.75443,12.97627,2587,DT01
19169,DT0102101,37.7553,12.97715,2588,DT01
19170,DT0102100,37.7553,12.97715,2588,DT01
19171,DT0102099,37.75386,12.97363,2591,DT01
19172,DT0102098,37.75433,12.9762,2592,DT01
19173,DT0102097,37.75433,12.9762,2592,DT01
19174,DT0102096,37.75375,12.9739,2597,DT01
19175,DT0102093,37.75993,12.98036,2578,DT01
19176,DT0102092,37.75993,12.98036,2578,DT01
19177,DT0102091,37.75513,12.97673,2569,DT01
19178,DT0102090,37.75518,12.97667,2573,DT01
19179,DT0101544,37.75524,12.97466,2583,DT01
19180,DT0102089,37.75673,12.97478,2590,DT01
19181,DT0102085,37.75316,12.97447,2588,DT01
19182,DT0102086,37.75316,12.97447,2588,DT01
19183,DT0102083,37.75316,12.97447,2588,DT01
19184,DT0102084,37.75316,12.97447,2588,DT01
19185,DT0102080,37.75315,12.97446,2589,DT01
19186,DT0102082,37.75315,12.97446,2589,DT01
19187,DT0102081,37.75315,12.97446,2589,DT01
19188,DT0102079,37.75462,12.97341,2590,DT01
19189,DT0102078,37.75625,12.9773,2590,DT01
19190,DT0102077,37.75508,12.97332,2591,DT01
19191,DT0102075,37.75518,12.97336,2584,DT01
19192,DT0102076,37.75518,12.97336,2584,DT01
19193,DT0102073,37.75549,12.97707,2583,DT01
19194,DT0102071,37.75449,12.977,2578,DT01
19195,DT0102070,37.75467,12.97251,2598,DT01
19196,DT0101036,37.75375,12.97108,2602,DT01
19197,DT0102069,37.75464,12.97743,2594,DT01
19198,DT0102068,37.75589,12.9756,2580,DT01
19199,DT0102066,37.75482,12.97607,2584,DT01
19200,DT0200968,37.76004,12.98381,2602,DT02
19201,DT0200969,37.76041,12.98401,2611,DT02
19202,DT0102065,37.75533,12.97698,2586,DT01
19203,DT0102064,37.84615,13.03936,2670,DT01
19204,DT0102063,37.84615,13.03936,2670,DT01
19205,DT0102061,37.75379,12.97671,2588,DT01
19206,DT0102060,37.75379,12.97671,2588,DT01
19207,DT0102059,37.82308,13.06427,2711,DT01
19208,DT0101786,37.75418,12.97208,2600,DT01
19209,DT0102058,37.75314,12.97131,2602,DT01
19210,DT0102055,37.75465,12.97772,2575,DT01
19211,DT0102057,37.75465,12.97772,2575,DT01
19212,DT0102056,37.75465,12.97772,2575,DT01
19213,DT0102054,37.75297,12.97476,2580,DT01
19214,DT0102053,37.75297,12.97476,2580,DT01
19215,DT0102051,37.75585,12.9767,2590,DT01
19216,DT0102049,37.75619,12.9773,2588,DT01
19217,DT0102048,37.75619,12.9773,2588,DT01
19218,DT0102047,37.75619,12.9773,2588,DT01
19219,DT0102046,37.75619,12.9773,2588,DT01
19220,DT0102044,37.75335,12.97549,2583,DT01
